"Year","All Categories - Class I-V - Boys","All Categories - Class I-V - Girls","All Categories - Class I-V - Total","All Categories - Class VI-VIII - Boys","All Categories - Class VI-VIII - Girls","All Categories - Class VI-VIII - Total","All Categories - Class IX-X - Boys","All Categories - Class IX-X - Girls","All Categories - Class IX-X - Total","All Categories - Class XI-XII - Boys","All Categories - Class XI-XII - Girls","All Categories - Class XI-XII - Total","Scheduled Caste Category - Class I-V - Boys","Scheduled Caste Category - Class I-V - Girls","Scheduled Caste Category - Class I-V - Total","Scheduled Caste Category - Class VI-VIII - Boys","Scheduled Caste Category - Class VI-VIII - Girls","Scheduled Caste Category - Class VI-VIII - Total","Scheduled Caste Category - Class IX-X - Boys","Scheduled Caste Category - Class IX-X - Girls","Scheduled Caste Category - Class IX-X - Total","Scheduled Caste Category - Class XI-XII - Boys","Scheduled Caste Category - Class XI-XII - Girls","Scheduled Caste Category - Class XI-XII - Total","Scheduled Tribe Category - Class I-V - Boys","Scheduled Tribe Category - Class I-V - Girls","Scheduled Tribe Category - Class I-V - Total","Scheduled Tribe Category - Class VI-VIII - Boys","Scheduled Tribe Category - Class VI-VIII - Girls","Scheduled Tribe Category - Class VI-VIII - Total","Scheduled Tribe Category - Class IX-X - Boys","Scheduled Tribe Category - Class IX-X - Girls","Scheduled Tribe Category - Class IX-X - Total","Scheduled Tribe Category - Class XI-XII - Boys","Scheduled Tribe Category - Class XI-XII - Girls","Scheduled Tribe Category - Class XI-XII - Total"
"1950-51",13.8,5.4,19.2,2.6,0.5,3.1,NA,NA,0,1.3,0.2,1.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1955-56",17.1,7.5,24.6,3.8,1,4.8,NA,NA,0,2.2,0.4,2.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1960-61",23.6,11.4,35,5.1,1.6,6.7,NA,NA,0,2.7,0.7,3.4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1965-66",32.2,18.3,50.5,7.7,2.8,10.5,NA,NA,0,4.4,1.3,5.7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1970-71",35.7,21.3,57,9.4,3.9,13.3,NA,NA,0,5.7,1.9,7.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1975-76",40.6,25,65.6,11,5,16,NA,NA,0,6.5,2.4,8.9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1980-81",45.3,28.5,73.8,13.9,6.8,20.7,NA,NA,0,7.6,3.4,11,7.2,3.8,11,1.6,0.6,2.2,NA,NA,0,0.9,0.2,1.2,3.1,1.5,4.7,0.5,0.2,0.7,NA,NA,0,0.2,0.1,0.3
"1985-86",52.2,35.2,87.4,17.7,9.6,27.3,NA,NA,0,11.5,5,16.5,8.7,5.2,13.9,2.5,1.1,3.6,NA,NA,0,1.4,0.4,1.8,4.2,2.4,6.6,0.9,0.4,1.3,NA,NA,0,0.4,0.2,0.6
"1990-91",57,40.4,97.4,21.5,12.5,34,NA,NA,0,12.8,6.3,19.1,9.7,6.1,15.8,2.7,1.4,4.2,NA,NA,0,1.7,0.6,2.3,5,2.9,7.9,1.1,0.6,1.7,NA,NA,0,0.6,0.2,0.8
"1991-92",58.6,42.3,100.9,22,13.6,35.6,10,5,15,4.2,2,6.2,9.7,6.3,16,3.1,1.6,4.7,1.3,0.5,1.9,0.5,0.2,0.7,5,3.1,8,1.2,0.6,1.8,0.4,0.2,0.6,0.1,0.1,0.2
"1992-93",57.9,41.7,99.6,21.2,12.9,34.1,10.3,5.5,15.8,4.7,2.2,7,10.3,7,17.4,3.5,1.9,5.4,1.4,0.6,2,0.5,0.2,0.7,5,3.3,8.4,1.3,0.7,2,0.5,0.2,0.7,0.2,0.1,0.3
"1993-94",55.1,41.9,97,20.6,13.5,34.1,10.2,5.6,15.8,5.1,2.5,7.6,10.4,7.2,17.6,3.6,2,5.6,1.4,0.6,2,0.6,0.2,0.8,5.2,3.4,8.6,1.4,0.8,2.2,0.5,0.2,0.7,0.2,0.1,0.3
"1994-95",60,45.1,105.1,22.1,14.3,36.4,10.5,5.8,16.3,5.2,2.6,7.8,10.9,7.5,18.4,3.3,1.9,5.2,1.4,0.6,2.1,0.6,0.2,0.8,5.5,3.6,9.1,1.4,0.9,2.2,0.5,0.3,0.8,0.2,0.1,0.3
"1995-96",60.9,46.2,107.1,22.7,14.8,37.5,10.7,6.1,16.8,5.4,2.7,8.1,11.3,7.9,19.2,3.5,2,5.4,1.5,0.7,2.1,0.9,0.3,1.2,5.6,3.8,9.4,1.4,0.8,2.3,0.6,0.3,0.9,0.3,0.1,0.4
"1996-97",61.4,46.8,108.2,22.9,15.2,38.1,11.2,6.6,17.9,6,3.2,9.2,11.8,8.4,20.1,3.6,2.2,5.8,1.5,0.7,2.2,0.9,0.4,1.3,5.9,4.1,10,1.5,0.9,2.4,0.6,0.3,0.9,0.3,0.1,0.4
"1997-98",62.3,48,110.3,23.6,15.9,39.5,11.2,6.7,17.9,5.9,3.4,9.3,12.1,8.8,20.9,3.8,2.3,6.1,1.6,0.9,2.4,0.6,0.3,0.9,6.1,4.3,10.5,1.6,1,2.6,0.6,0.3,1,0.2,0.1,0.3
"1998-99",62.7,49,111.7,23.9,16.5,40.4,11.4,7.1,18.5,5.9,3.4,9.3,12.5,9.2,21.6,3.9,2.5,6.4,1.6,0.9,2.5,0.6,0.3,1,6.2,4.5,10.7,1.7,1,2.7,0.7,0.4,1,0.3,0.1,0.4
"1999-00",63.6,50,113.6,24.3,17,41.3,11.3,7.3,18.6,6,3.7,9.6,12.3,9.2,21.5,3.9,2.6,6.5,1.9,1.1,3,0.7,0.4,1.1,6.5,4.7,11.3,1.8,1.1,2.9,0.7,0.4,1.1,0.3,0.1,0.4
"2000-01",64,49.8,113.8,25.3,17.5,42.8,11.6,7.4,19,6.1,3.8,9.9,12.1,9.1,21.2,4.1,2.6,6.7,1.8,1.1,2.9,0.8,0.4,1.3,6.3,4.7,11,1.9,1.2,3.1,0.7,0.4,1.2,0.3,0.2,0.5
"2001-02",63.6,50.3,113.9,26.1,18.7,44.8,12.1,7.9,20.1,6.3,4.2,10.5,12.3,9.3,21.5,4.6,2.9,7.5,1.8,1.1,2.9,0.9,0.5,1.4,6.7,5,11.7,2.1,1.3,3.4,0.7,0.4,1.2,0.3,0.2,0.5
"2002-03",65.1,57.3,122.4,26.3,20.6,46.9,12.8,9,21.8,6.7,4.7,11.4,11.9,9.7,21.7,4.4,3.1,7.5,1.7,1,2.7,1,0.6,1.7,6.4,5.4,11.8,1.9,1.3,3.2,0.7,0.5,1.2,0.4,0.2,0.6
"2003-04",68.4,59.9,128.3,27.3,21.5,48.8,13.7,9.6,23.3,6.9,4.8,11.7,12.8,10.4,23.1,4.7,3.3,8.1,2,1.3,3.2,1,0.6,1.5,6.8,5.7,12.5,2.1,1.5,3.7,0.8,0.5,1.4,0.4,0.2,0.6
"2004-05",69.7,61.1,130.8,28.5,22.7,51.2,14.2,10.1,24.3,7.5,5.3,12.7,13.8,11,24.8,5.1,3.6,8.7,2.2,1.4,3.5,1,0.6,1.7,7.4,6.4,13.7,2.4,1.8,4.2,0.9,0.6,1.5,0.4,0.2,0.6
"2005-06",70.5,61.6,132.1,28.9,23.3,52.2,14.5,10.5,25,7.8,5.6,13.4,14,11.3,25.3,5.3,3.8,9.1,2.3,1.5,3.8,1.1,0.7,1.8,7.5,6.6,14.1,2.5,2,4.5,0.9,0.6,1.6,0.4,0.2,0.6
"2006-07",71.1,62.6,133.7,29.9,24.6,54.5,14.9,11,25.9,8.1,6,14,14.5,11.8,26.3,5.5,4,9.5,2.5,1.6,4.1,1.2,0.8,2,7.6,6.8,14.4,2.6,2,4.7,1,0.7,1.7,0.5,0.3,0.7
"2007-08",71.1,64.4,135.5,31.1,26.2,57.3,15.9,12.3,28.2,9.3,7,16.3,13.7,12.6,26.3,5.3,4.6,9.9,2.4,1.8,4.2,1.3,0.9,2.2,7.7,7,14.7,2.6,2.1,4.7,1,0.7,1.7,0.5,0.3,0.8
"2008-09",70.6,64.7,135.3,31.4,27,58.4,16.5,12.9,29.4,9.5,7.4,16.9,14,12.7,26.7,5.6,4.9,10.5,2.8,2.2,5,1.5,1.1,2.6,7.8,7.2,15,2.7,2.3,5,1.1,0.8,1.9,0.5,0.4,0.9
"2009-10",69.7,63.9,133.6,31.7,27.8,59.5,16.9,13.8,30.7,9.9,7.9,17.8,13.5,12.5,26,5.8,5.1,10.9,3,2.4,5.4,1.6,1.2,2.8,7.7,7.2,14.9,2.8,2.4,5.2,1.2,0.9,2.1,0.6,0.4,1
"2010-11",70.1,64.6,134.8,32.7,29.2,61.9,17.5,14.3,31.9,10.9,8.6,19.5,14,12.9,26.9,6,5.3,11.3,3.1,2.6,5.7,1.7,1.3,3,7.7,7.2,14.9,2.8,2.6,5.4,1.2,1,2.2,0.6,0.5,1.1
"2011-12",72.6,67.2,139.9,33.1,29.9,63,18.6,15.5,34.1,11.6,9.4,21,14.8,13.9,28.7,6.3,5.9,12.2,3.5,3.1,6.6,2,1.8,3.8,7.9,7.4,15.3,2.9,2.7,5.6,1.4,1.2,2.5,0.7,0.6,1.3
